r,accuracy
"[0.5339234471321106, 0.959130585193634]"
"[0.7826355695724487, 0.9640145301818848]"
"[0.64778733253479, 0.9609180688858032]"
"[0.6779956817626953, 0.9623672962188721]"
"[0.6252065896987915, 0.9639668464660645]"
"[0.7095324993133545, 0.962778627872467]"
"[0.5306796431541443, 0.9615970849990845]"
"[0.5647186636924744, 0.9661069512367249]"
"[0.49841275811195374, 0.9606995582580566]"
"[0.6749909520149231, 0.9611126184463501]"
"[0.508571207523346, 0.9618657231330872]"
"[0.48809614777565, 0.9621340036392212]"
"[0.6608583331108093, 0.9615515470504761]"
"[0.6014381647109985, 0.9621402025222778]"
"[0.644660234451294, 0.961237907409668]"
"[0.5982092022895813, 0.9614512920379639]"
"[0.6669595241546631, 0.9634624719619751]"
"[0.7200639247894287, 0.9613413214683533]"
"[0.5558590292930603, 0.9596020579338074]"
"[0.5266010165214539, 0.9627065658569336]"
"[0.5681437253952026, 0.9608237743377686]"
"[0.9895575046539307, 0.9642276167869568]"
"[1.2394444942474365, 0.9639639854431152]"
"[0.7698604464530945, 0.9647020697593689]"
"[0.41199538111686707, 0.9623550772666931]"
"[0.6254271268844604, 0.9623129963874817]"
"[0.5631799697875977, 0.9629629850387573]"
"[0.5960145592689514, 0.9612427949905396]"
"[0.6310031414031982, 0.9645175337791443]"
"[0.5518803596496582, 0.9606674313545227]"
"[0.5616666078567505, 0.961633563041687]"
"[0.5041929483413696, 0.9625850319862366]"
"[0.9673691391944885, 0.9617558717727661]"
"[0.5628547668457031, 0.962337076663971]"
"[0.7491655945777893, 0.9617769718170166]"
"[0.44917619228363037, 0.9607618451118469]"
"[0.6721979379653931, 0.9598775506019592]"
"[0.4480803608894348, 0.9626002311706543]"
"[0.756978452205658, 0.9616518616676331]"
"[0.5475965142250061, 0.9605911374092102]"
"[0.8541688323020935, 0.9618456363677979]"
"[0.5136047601699829, 0.962199330329895]"
"[0.5227303504943848, 0.9616414904594421]"
"[0.7115726470947266, 0.9643335342407227]"
"[0.7483975887298584, 0.9610081315040588]"
"[0.5415019989013672, 0.9629629850387573]"
"[0.5108641982078552, 0.9618296027183533]"
"[0.6575668454170227, 0.9604590535163879]"
"[0.6656417846679688, 0.9623607397079468]"
"[0.4505011737346649, 0.9642819762229919]"
"[0.4742995500564575, 0.9615345597267151]"
"[0.5736379027366638, 0.9630300998687744]"
"[0.572898268699646, 0.9592626094818115]"
"[0.5678221583366394, 0.9658531546592712]"
"[0.5444518327713013, 0.9602900743484497]"
"[0.7230116724967957, 0.9632288217544556]"
"[0.6184513568878174, 0.9589979648590088]"
"[0.6349247694015503, 0.9604607820510864]"
"[0.5411304831504822, 0.9615744948387146]"
"[0.8317517042160034, 0.9619482755661011]"
"[0.5822488069534302, 0.9599575996398926]"
"[0.5073003172874451, 0.9601390361785889]"
"[0.5130292773246765, 0.9608562588691711]"
"[0.7215834259986877, 0.9610549807548523]"
"[0.6693575382232666, 0.9654218554496765]"
"[0.6755757331848145, 0.9624024629592896]"
"[0.8206524848937988, 0.9648241400718689]"
"[0.5448930859565735, 0.9618604779243469]"
"[0.5611871480941772, 0.9611464738845825]"
"[0.8315455317497253, 0.9612163305282593]"
"[0.7336417436599731, 0.9615955948829651]"
"[0.7059552669525146, 0.9604290723800659]"
"[0.6656109094619751, 0.962231457233429]"
"[0.8197929263114929, 0.9607727527618408]"
"[0.6370648145675659, 0.9648262858390808]"
"[0.5626881122589111, 0.961201012134552]"
"[0.8279874324798584, 0.9631758332252502]"
"[0.44668498635292053, 0.9622445106506348]"
"[0.5543461441993713, 0.9598919749259949]"
"[0.4514198899269104, 0.9634157419204712]"
"[0.469855934381485, 0.9631420969963074]"
"[0.6563427448272705, 0.9629330635070801]"
"[0.7669951915740967, 0.9636583924293518]"
"[0.8617112040519714, 0.9619554281234741]"
"[0.5597552061080933, 0.9582775235176086]"
"[0.47767382860183716, 0.9627223610877991]"
"[0.9120593667030334, 0.96524977684021]"
"[0.6638420820236206, 0.958705723285675]"
"[0.43897929787635803, 0.9590685367584229]"
"[0.6326959133148193, 0.9608030319213867]"
"[0.5406625866889954, 0.9604082703590393]"
"[0.6021578311920166, 0.9615617394447327]"
"[0.5226423144340515, 0.9594494700431824]"
"[0.727939248085022, 0.9595464468002319]"
"[0.616254985332489, 0.9600000381469727]"
"[0.6192610263824463, 0.9580889940261841]"
"[0.702140212059021, 0.9613264799118042]"
"[0.517810583114624, 0.9618445038795471]"
"[0.5242065787315369, 0.9608932733535767]"
"[0.47814467549324036, 0.9637483358383179]"
"[0.5364508628845215, 0.9647369384765625]"
"[0.48190560936927795, 0.9631346464157104]"
"[0.6650075912475586, 0.9607303142547607]"
"[0.5936239957809448, 0.959716796875]"
"[0.5452881455421448, 0.9619759917259216]"
"[0.5210949778556824, 0.9636271595954895]"
"[0.5900576710700989, 0.9622183442115784]"
"[0.4675942659378052, 0.9617862105369568]"
"[0.6710654497146606, 0.964148998260498]"
"[0.5492925643920898, 0.9632958769798279]"
"[0.6422926187515259, 0.9631065726280212]"
"[0.4355636239051819, 0.9615861177444458]"
"[0.5817396640777588, 0.9597204923629761]"
"[0.4926812946796417, 0.9621941447257996]"
"[0.5273004770278931, 0.9635322093963623]"
"[0.7153933048248291, 0.9602980613708496]"
"[0.5171076059341431, 0.9608354568481445]"
"[0.5755653381347656, 0.9628422260284424]"
"[0.5955345034599304, 0.9628209471702576]"
"[0.48815682530403137, 0.9632469415664673]"
"[0.507779598236084, 0.9635087847709656]"
"[0.6967445015907288, 0.9597719311714172]"
"[0.646759569644928, 0.9608494639396667]"
"[0.5721617341041565, 0.9622934460639954]"
"[0.705122172832489, 0.9607843160629272]"
"[0.6303631067276001, 0.961368978023529]"
"[0.5700396299362183, 0.9621594548225403]"
"[0.6506661176681519, 0.9608135223388672]"
"[0.5955808162689209, 0.9609570503234863]"
"[0.6872928738594055, 0.9648171663284302]"
"[0.5521446466445923, 0.9602383971214294]"
"[0.5099407434463501, 0.9627046585083008]"
"[0.5549103617668152, 0.9593439698219299]"
"[0.5491676330566406, 0.9616844654083252]"
"[0.5365992784500122, 0.96114581823349]"
"[0.4874303936958313, 0.9589743614196777]"
"[0.48383888602256775, 0.9601585268974304]"
"[0.5373843312263489, 0.9594017267227173]"
"[0.6733464002609253, 0.9605911374092102]"
"[0.5016695857048035, 0.9623955488204956]"
"[0.5479085445404053, 0.9585294127464294]"
"[0.6122234463691711, 0.9612924456596375]"
"[0.5015010833740234, 0.9598665833473206]"
"[0.6319719552993774, 0.9638554453849792]"
"[0.5997892618179321, 0.9624091386795044]"
"[0.4415851831436157, 0.9624873399734497]"
"[0.743968665599823, 0.9612996578216553]"
"[0.6256322264671326, 0.962710440158844]"
"[0.5873122811317444, 0.9612528681755066]"
"[0.7933785915374756, 0.9578288793563843]"
"[0.5030839443206787, 0.9646044969558716]"
"[0.6414170265197754, 0.9600614905357361]"
"[0.4940803050994873, 0.9585084319114685]"
"[0.535826563835144, 0.9604862928390503]"
"[0.5301212668418884, 0.9637768268585205]"
"[0.5832338929176331, 0.9622641801834106]"
"[0.5512419939041138, 0.9612821340560913]"
"[0.5664001703262329, 0.962439775466919]"
"[0.6282679438591003, 0.963087260723114]"
"[0.5547589063644409, 0.9603272080421448]"
"[0.7093472480773926, 0.9655136466026306]"
"[0.667650580406189, 0.9634228348731995]"
"[0.8605188131332397, 0.9607968330383301]"
"[0.6858767867088318, 0.9587321877479553]"
"[0.5277259349822998, 0.9631748199462891]"
"[0.49777182936668396, 0.9602952003479004]"
"[0.6136482357978821, 0.9608264565467834]"
"[0.619789719581604, 0.9624334573745728]"
"[0.5595298409461975, 0.9589069485664368]"
"[0.8045880794525146, 0.9598441123962402]"
"[0.486197829246521, 0.9613848328590393]"
"[0.6900286078453064, 0.9626391530036926]"
"[0.6333277821540833, 0.9630595445632935]"
"[0.798404335975647, 0.9616724252700806]"
"[0.5816518068313599, 0.9586735963821411]"
"[0.49791595339775085, 0.9621303677558899]"
"[0.6772980093955994, 0.9569856524467468]"
"[0.7082958221435547, 0.9638493657112122]"
"[0.6007494330406189, 0.9595146179199219]"
"[0.5982099175453186, 0.9626137018203735]"
"[0.5072705149650574, 0.9597508907318115]"
"[0.6712571978569031, 0.9646974802017212]"
"[0.6773773431777954, 0.9633936285972595]"
"[0.48396679759025574, 0.9614893794059753]"
"[0.6169777512550354, 0.9605616927146912]"
"[0.6205449104309082, 0.9597832560539246]"
"[0.5080800652503967, 0.9619701504707336]"
"[0.6567633152008057, 0.9624001383781433]"
"[0.6834929585456848, 0.9592796564102173]"
"[0.662512481212616, 0.9643587470054626]"
"[0.473956823348999, 0.9636726379394531]"
"[0.5131266713142395, 0.9629969596862793]"
"[0.5459493398666382, 0.9611142873764038]"
"[0.6472977995872498, 0.9603655338287354]"
"[0.6668790578842163, 0.9600671529769897]"
"[0.49187415838241577, 0.958742082118988]"
"[0.5146693587303162, 0.9634014368057251]"
"[0.4928574860095978, 0.9610512256622314]"
"[0.6167955994606018, 0.9619320631027222]"
"[0.5713637471199036, 0.9615840911865234]"
"[0.7701464891433716, 0.9632614254951477]"
"[0.5635188221931458, 0.9595752954483032]"
"[0.6433899402618408, 0.9617859721183777]"
"[0.5647419095039368, 0.9615663886070251]"
"[0.5083081722259521, 0.9644655585289001]"
"[0.716055691242218, 0.9607366919517517]"
"[0.6377400159835815, 0.957385778427124]"
"[0.5330550670623779, 0.9586237668991089]"
"[0.4745981991291046, 0.9602407217025757]"
"[0.6859965920448303, 0.960235059261322]"
"[0.8231579661369324, 0.9617671370506287]"
"[0.7777175903320312, 0.9596688151359558]"
"[0.5620272755622864, 0.9579318165779114]"
"[0.49083781242370605, 0.9631979465484619]"
"[0.8511859774589539, 0.9624159336090088]"
"[0.5991218686103821, 0.9623499512672424]"
"[0.6223706007003784, 0.9614324569702148]"
"[0.6021705865859985, 0.9620693325996399]"
"[0.7071215510368347, 0.9599423408508301]"
"[0.8801828622817993, 0.9649374485015869]"
"[0.7000936269760132, 0.9617515802383423]"
"[0.7047480344772339, 0.9618001580238342]"
"[0.8937698006629944, 0.9639667868614197]"
"[0.5410380363464355, 0.9617898464202881]"
"[0.7407510280609131, 0.9605998992919922]"
"[0.5232387781143188, 0.9608357548713684]"
"[0.6415024399757385, 0.9602465629577637]"
"[0.637701153755188, 0.9606435894966125]"
"[0.5580412149429321, 0.9569687247276306]"
"[0.674845814704895, 0.9621033668518066]"
"[0.6175926923751831, 0.9622078537940979]"
"[0.603659987449646, 0.9597374796867371]"
"[0.4770371913909912, 0.9631884694099426]"
"[0.6319257616996765, 0.9614968299865723]"
"[0.6143786907196045, 0.9597058296203613]"
"[0.5133233070373535, 0.9621312618255615]"
"[0.5808785557746887, 0.9611650705337524]"
"[0.6337817311286926, 0.9600480794906616]"
"[0.5999112725257874, 0.9607778191566467]"
"[0.850982129573822, 0.9619354605674744]"
"[0.6235445737838745, 0.958033561706543]"
"[0.5353724360466003, 0.9630287885665894]"
"[0.5602794289588928, 0.9598966836929321]"
"[0.6995726823806763, 0.9653358459472656]"
"[0.6940466165542603, 0.9587692618370056]"
"[0.5218907594680786, 0.9611660242080688]"
"[0.4700508117675781, 0.9643905162811279]"
"[0.437114953994751, 0.9614540934562683]"
"[0.6495313048362732, 0.9622373580932617]"
"[0.7121590375900269, 0.962984025478363]"
"[0.5303925275802612, 0.9625216126441956]"
"[0.7293862700462341, 0.9601734280586243]"
"[0.6148996949195862, 0.9594565629959106]"
"[0.6416824460029602, 0.9608897566795349]"
"[0.8874022960662842, 0.9612922072410583]"
"[0.5159778594970703, 0.9618831872940063]"
"[0.7043900489807129, 0.9616430401802063]"
"[0.5298904180526733, 0.9623820781707764]"
"[1.012657880783081, 0.9612546563148499]"
"[0.6876636743545532, 0.9642325043678284]"
"[0.5721708536148071, 0.9614197611808777]"
"[0.606779932975769, 0.9594555497169495]"
"[0.842326283454895, 0.9639699459075928]"
"[0.5134339928627014, 0.9601462483406067]"
"[0.6219317317008972, 0.9621913433074951]"
"[0.4892805516719818, 0.9606587290763855]"
"[0.4336676001548767, 0.9640997052192688]"
"[0.6017115712165833, 0.9627314805984497]"
"[0.7045964598655701, 0.9614392518997192]"
"[0.7596421241760254, 0.9605434536933899]"
"[0.6007488965988159, 0.9639240503311157]"
"[0.4755801558494568, 0.962853193283081]"
"[0.5655975937843323, 0.9614841938018799]"
"[0.6854712963104248, 0.9668674468994141]"
"[0.5547047853469849, 0.9628720879554749]"
"[0.49781596660614014, 0.9626360535621643]"
"[0.7032167315483093, 0.960075855255127]"
"[0.6333812475204468, 0.9627451300621033]"
"[0.8688435554504395, 0.961961030960083]"
"[0.693844735622406, 0.960159420967102]"
"[0.6104190349578857, 0.9642735719680786]"
"[0.7893511056900024, 0.960082471370697]"
"[0.4866684377193451, 0.961306095123291]"
"[0.6972349286079407, 0.9609094858169556]"
"[0.49819642305374146, 0.9612583518028259]"
"[0.5921868681907654, 0.9631614685058594]"
"[0.5811219215393066, 0.9584596753120422]"
"[0.6243125200271606, 0.9599621295928955]"
"[0.7539265155792236, 0.9577506184577942]"
"[0.5721748471260071, 0.9632493257522583]"
"[0.6830313801765442, 0.9621320962905884]"
"[0.6056703329086304, 0.9589728116989136]"
"[0.6057828068733215, 0.9608838558197021]"
"[0.6077319383621216, 0.9614711403846741]"
"[0.6676570177078247, 0.9603949785232544]"
"[0.5231990218162537, 0.9623920917510986]"
"[0.7795702219009399, 0.9606078267097473]"
"[0.5532466173171997, 0.9606341123580933]"
"[0.4899415969848633, 0.9595388174057007]"
"[0.679710865020752, 0.9605863094329834]"
"[0.5511243939399719, 0.9623469710350037]"
"[0.5273019671440125, 0.9614726305007935]"
"[0.6102964878082275, 0.9593353867530823]"
"[0.6576660871505737, 0.963212788105011]"
"[0.5304359793663025, 0.9634242653846741]"
"[0.9806236028671265, 0.9634456038475037]"
"[0.6412716507911682, 0.9608379006385803]"
"[0.5576823949813843, 0.9614179730415344]"
"[0.40737465023994446, 0.9633123874664307]"
"[0.7444651126861572, 0.9621235132217407]"
"[0.5415425300598145, 0.95927494764328]"
"[0.5487611889839172, 0.9584426879882812]"
"[0.706402063369751, 0.9619954228401184]"
"[0.6634994745254517, 0.956966757774353]"
"[0.6391614079475403, 0.9625149965286255]"
"[0.6316559314727783, 0.9618692398071289]"
"[0.5701457262039185, 0.9613420963287354]"
"[0.4809896945953369, 0.9607182741165161]"
"[0.5594308972358704, 0.9601702690124512]"
"[0.9425066113471985, 0.9616272449493408]"
"[0.4900473654270172, 0.9625552892684937]"
"[0.546095073223114, 0.9608536958694458]"
"[0.648507297039032, 0.9611194729804993]"
"[0.6566663980484009, 0.9599097967147827]"
"[0.6089709997177124, 0.962748110294342]"
"[0.7519599199295044, 0.9650843739509583]"
"[0.7318766117095947, 0.9601414799690247]"
"[0.5928091406822205, 0.9615610241889954]"
"[0.6569302678108215, 0.958497166633606]"
"[0.6455351710319519, 0.9625937938690186]"
"[0.5755212306976318, 0.9628674983978271]"
"[0.5500525832176208, 0.9625937938690186]"
"[0.44063064455986023, 0.9619665145874023]"
"[0.8337745666503906, 0.9605724215507507]"
"[0.7270470857620239, 0.962476372718811]"
"[0.5805543661117554, 0.9625629782676697]"
"[0.746522068977356, 0.9608218669891357]"
"[0.5128206014633179, 0.9637060761451721]"
"[0.8132357597351074, 0.9633744955062866]"
"[0.473774254322052, 0.963591992855072]"
"[0.72649085521698, 0.9613879323005676]"
"[0.5179791450500488, 0.962114155292511]"
"[0.7210382223129272, 0.959716796875]"
"[0.6552425622940063, 0.961714506149292]"
"[0.636505126953125, 0.9569287896156311]"
"[0.663765549659729, 0.9651641845703125]"
"[0.840234637260437, 0.9619541764259338]"
"[0.6055274605751038, 0.9586288332939148]"
"[0.7690668106079102, 0.9621344208717346]"
"[0.5366077423095703, 0.962673008441925]"
"[0.5779933333396912, 0.9592132568359375]"
"[0.5418247580528259, 0.9603673219680786]"
"[0.5727828741073608, 0.9587941765785217]"
"[0.5417485237121582, 0.9610238671302795]"
"[0.8146249055862427, 0.9635903239250183]"
"[0.5238955616950989, 0.9635197520256042]"
"[0.5866223573684692, 0.9584874510765076]"
"[0.72104811668396, 0.9606800079345703]"
"[0.8142328262329102, 0.9620770215988159]"
"[0.8506438732147217, 0.9619746208190918]"
"[0.4792473316192627, 0.9612055420875549]"
"[0.5124386548995972, 0.9621742367744446]"
"[0.7821414470672607, 0.961185097694397]"
"[0.5805760622024536, 0.9597294926643372]"
"[0.6556975841522217, 0.9619989395141602]"
"[0.538981556892395, 0.9611350297927856]"
"[0.5954930186271667, 0.961493730545044]"
"[0.7605999112129211, 0.9613009095191956]"
"[0.873676598072052, 0.9636402130126953]"
"[0.6596798300743103, 0.9604160189628601]"
"[0.5469348430633545, 0.9605313539505005]"
"[0.5493428111076355, 0.9614089131355286]"
"[0.5669337511062622, 0.9610808491706848]"
"[0.54120272397995, 0.9618043899536133]"
"[0.6714004874229431, 0.9644989371299744]"
"[0.5560146570205688, 0.96033775806427]"
"[0.9191271066665649, 0.959525465965271]"
"[0.4854413866996765, 0.9645846486091614]"
"[0.8742285370826721, 0.961773157119751]"
"[0.4398093521595001, 0.965376615524292]"
"[0.48235639929771423, 0.962975800037384]"
"[0.46851998567581177, 0.9617930054664612]"
"[0.6809359192848206, 0.9623575806617737]"
"[0.5707607865333557, 0.9609333872795105]"
"[0.7027530670166016, 0.9610538482666016]"
"[0.6050369143486023, 0.9621756672859192]"
"[0.7119080424308777, 0.9609003067016602]"
"[0.5863513350486755, 0.9616299867630005]"
"[0.5416225790977478, 0.9607066512107849]"
"[0.6317785382270813, 0.9633240103721619]"
"[0.7821527123451233, 0.9598091840744019]"
"[0.6430857181549072, 0.9637382626533508]"
"[0.4666000008583069, 0.9638234376907349]"
"[0.5275130271911621, 0.9599801898002625]"
"[0.664197564125061, 0.9606974124908447]"
"[0.57146155834198, 0.9623477458953857]"
"[0.5626771450042725, 0.9633842706680298]"
"[0.6270080804824829, 0.9605328440666199]"
"[0.6218633651733398, 0.9597823619842529]"
"[0.5179047584533691, 0.962195098400116]"
"[0.587240993976593, 0.9640665054321289]"
"[0.4784664213657379, 0.9599183201789856]"
"[0.5435531139373779, 0.963980495929718]"
"[0.9169421792030334, 0.9642746448516846]"
"[0.5737989544868469, 0.9595996141433716]"
"[0.5711711645126343, 0.962995171546936]"
"[0.775577962398529, 0.9619738459587097]"
"[0.7229838371276855, 0.9601631164550781]"
"[0.4912499487400055, 0.961087167263031]"
"[0.6700834035873413, 0.9642665386199951]"
"[0.5272409915924072, 0.9649295210838318]"
"[0.8126177787780762, 0.9616167545318604]"
"[0.6456960439682007, 0.9589165449142456]"
"[0.5757826566696167, 0.9611879587173462]"
"[0.5804504156112671, 0.9619172811508179]"
"[0.5590282678604126, 0.9628044366836548]"
"[0.5848771333694458, 0.9626649618148804]"
"[0.6743756532669067, 0.9606481194496155]"
"[0.5256597399711609, 0.9603148102760315]"
"[0.8242895603179932, 0.9640295505523682]"
"[0.746117889881134, 0.960766613483429]"
"[0.9052833318710327, 0.9617689847946167]"
"[0.6330229043960571, 0.9647850394248962]"
"[0.7976627945899963, 0.96140456199646]"
"[0.6822178363800049, 0.9589394330978394]"
"[0.6202436089515686, 0.9623931646347046]"
"[0.6578305959701538, 0.9624974131584167]"
"[0.7986958622932434, 0.9599156379699707]"
"[0.6361285448074341, 0.9634621143341064]"
"[0.437858521938324, 0.9637290835380554]"
"[0.5492728352546692, 0.962522029876709]"
"[0.481381893157959, 0.9655067920684814]"
"[0.5927743315696716, 0.9635137915611267]"
"[0.49999648332595825, 0.9653579592704773]"
"[0.77280193567276, 0.9595588445663452]"
"[0.5479810237884521, 0.9609415531158447]"
"[0.6751588582992554, 0.9633842706680298]"
"[0.7895435094833374, 0.9622161388397217]"
